Community,Religieux-Religieuses,Corps,Corps-Officiel,Province,Site,Site-2,Country,lat,lon,Number-Approx,Total Enslaved Persons,Empire,sphere,Approximate Year of Data,Reference,Note,NamesofReligious,RefRel,Contract of Founding,Summary of Contract,Ref for Contract
Brothers Hospitallers,Religieux,Frères de la Charité,Ordre hospitalier de Saint-Jean-de-Dieu,Brothers Hospitallers of Saint John of God,"Cap-Haïtien, Haiti","Le Cap Français & Petite-Anse, Saint-Domingue",Haiti,19.737,-72.2068,100,About 100,French,2,1781,"Cabon, P. A. <em>Notes sur l'histoire religieuse d'Haïti: de la Révolution au Concordat (1789–1860)</em>. Port-au-Prince: Petit Séminaire Collège Saint-Martial, 1933. Jan, Jean-Marie. <em>Collecta</em>. Vol. 1. Port-au-Prince: Editions Henri Deschamps, 1955, 85.","An unknown number of slaves labored at the hospitals run by the Brothers of Charity in Saint-Domingue. The largest, La Providence, was located in the center of Cap Français. Toussaint Louverture himself was known to have once served the Brothers as a domestic. Another leader of the Northern Plains insurgency, Georges Biassou, was enslaved on their plantation outside the city. His mother, Diana, was among the first slaves freed from Church properties during the Revolution when Biassou led a daring rescue operation to liberate her and others enslaved at the Providence Hospital in January 1792, at the height of the standoff between the insurgent slaves and the colonial troops. During the War of American Independence, Saint-Ours, a lieutenant in the French Navy and commander of the Licorne, kept a journal detailing his stay in the region of Le Cap (Saint-Domingue), where he spent some time as the guest of the Pères de la Charité on their sugar plantation in Petite-Anse, outside of the city. In an entry from 25 September 1781, he describes the estate thus: ""I saw the plan of the Fathers' estate, which comprised ninety-five carreaux of land in total. They had one hundred negroes and one hundred mules or horses to work it, producing about one hundred thousand pounds of sugar valued at 100,000 livres.""",,,"1719, 1732","In March 1719, Letters Patent were granted for two hospitals in Saint-Domingue to serve poor, sick, and injured men, providing medical treatment and necessary surgeries for their recovery, expanding the King's original intent for soldiers and sailors to include the poor. A dispute between the Brothers and Jesuits in Cap led to this solution. The Brothers received authorization to administer sacraments, conduct divine services, and bury the dead through priests of their choice, under the authority of the Provincial and Vicar General in France, recognizing their exemption from local ecclesiastical authorities based on Papal privileges, often leading to conflicts. The King granted them significant advantages, including ownership of churches, convents, hospitals, buildings, lands, and general property in Cap and Léogâne. The Provincial could change superiors at will, and the hospitals were under the King's special protection. The Brothers could slaughter animals for their own consumption, display France's arms on buildings, acquire property, receive donations, and collect alms in churches. They and their servants, both white and black, were exempt from guard duty, forced labor, and taxes for up to 50 servants in cultivation. They could import necessary goods from France without paying export or import duties, and free passage overseas was granted to the Brothers. In 1732, new Letters Patent reaffirmed the establishment and continuous progress of these hospitals.





",Jan - Collecta Tome 1 p. 54
Brothers Hospitallers,Religieux,Frères de la Charité,Ordre hospitalier de Saint-Jean-de-Dieu,Brothers Hospitallers of Saint John of God,Léogâne,"Léogâne, Saint-Domingue",Haiti,18.5128,-72.624,1,Unknown Number,French,2,1789,"Cabon, P. A. <em>Notes sur l'histoire religieuse d'Haïti: de la Révolution au Concordat (1789–1860)</em>. Port-au-Prince: Petit Séminaire Collège Saint-Martial, 1933.","An unknown number of slaves labored at the hospitals run by the Brothers of Charity in Saint-Domingue. The hospitals also possessed plantations to support their charitable operations. Toussaint Louverture himself was known to have once served the Brothers of Charity as a domestic. The order of Brothers Hospitallers of Saint John of God (better known in Old Regime France as the Frères de Charité) was founded in Spain in the mid-16th century by Saint John of God. The order spread to France in the 17th and 18th centuries. By 1789 there were 355 Frères serving in 39 hospitals in France and its colonies, with a total of about 5,000 beds under their care.",,,,,
Brothers Hospitallers,Religieux,Frères de la Charité,Ordre hospitalier de Saint-Jean-de-Dieu,Brothers Hospitallers of Saint John of God,[Rivière de Saint-Claude ou de Sence],"Goubeyre, Guadeloupe",Guadeloupe,15.99884249,-61.68577168,411,411,French,2,1789,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, p. 400. Thorpe, Fred J. ""In Defence of Sugar: The Logistics of Fortifying the French Antilles under the Regency, 1715–1723."" <em>Proceedings of the Meeting of the French Colonial Historical Society</em> 19 (1994): 68–86. https://www.jstor.org/stable/43007765. Régent, Frédéric. ""Approche démographique de la population servile en Guadeloupe à la fin de l'ancien Régime."" <em>Annales de démographie historique</em> 119, no. 1 (2010): 5–25. Lafleur, Gérard. ""Les esclaves à statut spécial."" <em>Bulletin de la Société d'Histoire de la Guadeloupe</em>, no. 146–147 (2007): 47. http://id.erudit.org/iderudit/1040649ar.","The author of the 1782 report ""État du Clergé du département de la Marine"" includes a note that the ""Hôpital de la Guadeloupe,"" run by the Brothers of Charity, received 2,180 livres per year from the king. The letters patent of February 1686, which permitted the Brothers to settle in Martinique, also authorized them to establish themselves in Guadeloupe. They enjoyed the same privileges as other religious orders and owned one of the ""finest plantations on the island."" The same author wrote that less was known about the hospitals in Martinique; he also did not know the number of enslaved people who resided on the Brothers' plantations. According to research conducted by Fred J. Thorpe, the Brothers of Charity already had more than 250 slaves and an income of around 60,000 livres across their properties in Guadeloupe by 1721. According to Frédéric Régent, a notarial entry from October 1792 indicates that in at least one location (the Dolé plantation), men and women appeared to live in separate spaces: 348 slaves were recorded as distributed among 26 ""cases à nègres."" The inventory of the property belonging to the Brothers of Charity recorded the deaths of 20 out of 376 slaves living on the estate between November 7, 1791, and October 19, 1792. Altogether, the Frères de la Charité possessed 411 slaves in 1789 in Guadeloupe, with a collective recorded value of 822,000 livres, according to historian Gérard Lafleur.",,,,,
Brothers Hospitallers,Religieux,Frères de la Charité,Ordre hospitalier de Saint-Jean-de-Dieu,Brothers Hospitallers of Saint John of God,"Louisbourg, Nova Scotia",Forteresse de Louisbourg,Canada,45.8922,-59.9856,4,4,French,2,1749,"Biagi, Susan Young de. <em>Louisbourg (French): Un guide en couleurs d'histoire vivante</em>. Halifax: Formac Publishing Company Limited, 2010. Johnston, A. J. B. <em>Life and Religion at Louisbourg: 1713–1758</em>. Montreal: McGill-Queen's University Press, 1996.","Scholars have located records of 363 enslaved persons living on Ile Royale during the French colonial era. Most served as domestic servants, including four slaves recorded as belonging to the Brothers of Charity in 1749. The order of Brothers Hospitallers of Saint John of God (better known in Old Regime France as the Frères de Charité) was founded in Spain in the mid-16th century by Saint John of God. The order spread to France in the 17th and 18th centuries. By 1789 there were 355 Frères serving in 39 hospitals in France and its colonies, with a total of about 5,000 beds under their care.",,,,,
Christian Brothers,Frères laïcs,Frères des Écoles chrétiennes,Congrégation des Frères des Écoles chrétiennes,Lasalliens,Fort-de-France,Fort-Royal,Martinique,14.60654348,-61.0699508,21,21,French,2,1784,"""Inventaire des biens du collège (25 septembre 1784)."" Archives Nationales d'Outre-Mer, F5 A 18. Aix-en-Provence. Rennard, Joseph. ""Les écoles à la Martinique au XVIIe et au XVIIIe siècle."" <em>Martinique</em> 4, no. 4 (1944): 200–206.","The College St. Victor, in Fort Royal (Fort-de-France), founded at the behest of Father Charles-François de Coutances, head of the Capuchin Mission in Martinique, was served by the Brothers of the Christian Schools from 1782. A 1784 inventory of the college's assets included a plantation with 21 enslaved individuals (Charles, Zy, Papillon, Jean, Vaillant, Joseph, Zorelle, Francisque, Lafleur, Benoit, Thibagne, Marie Roze, Marie Anne, Nicole, Celimene, Marie Elizabeth, Jean Louis, Jean Marie, Celeste, Tandée, and Marie Françoise).It is interesting to note that Father Coutances also founded, around the same time, a school for girls in the city under the name La Providence. However, it was not run by nuns who had taken vows, but by unmarried or single women belonging to a non-affiliated educational establishment: ""les demoiselles formées dans la Maison de Saint-Etienne de la Rochelle et affiliées à cette Maison.""It is notable that Father Charles-François specifically recommended that no cloistered community of women religious be permitted in slave colonies, as any semblance that white persons were imprisoned would potentially lead to insubordination among the enslaved. Saint-Victor was located along Sainte Elizabeth street, in the area of the current courthouse and the former town hall (now Théâtre Aimé Césaire).",,,,,
Jesuits,Religieux,Jésuites,Compagnie de Jésus,Jesuits of New France,"Michilimackinac, Michigan",Fort Michilimakinac,United States,45.786667,-84.735978,4,4,French,2,1720,"Trudel, Marcel. <em>Canada's Forgotten Slaves: Two Hundred Years of Bondage</em>. Translated by George Tombs. Montréal: Véhicule Press, 2013.",Thee Jesuits at their mission at Michilimackinac possessed four Native slaves.,,,,,
Jesuits,Religieux,Jésuites,Compagnie de Jésus,Jesuits of New France,"Detroit, Michigan",Fort Pontchartrain du Détroit,United States,42.3205,-83.0766,1,Unknown Number,French,2,1720,"Trudel, Marcel. ""L'attitude de l'Église catholique vis-à-vis l'esclavage au Canada français."" <em>Report of the Annual Meeting / Rapports annuels de la Société historique du Canada</em> 40, no. 1 (1961): 28–34.","Historian Marcel Trudel writes that the three Native servants recorded as being in the employ of the Jesuits at Quebec had all been enslaved. In 1720, upon the invitation of the intendant of New France, Michel Bégon, various religious communities submitted requests to be given some of a cargo of one hundred enslaved Africans shipped to the colony by the French Company of the Indies. Various religious communities obtained slaves, including the Jesuits at Quebec City, at Saint-François-du-Lac (or Odanak, a village for Abenaki converts), at Sault-Saint-Louis (or Kahnawake, a village for Iroquois converts), as well as at their mission stations in Detroit and Michilimackinac; the Frères de la charité, who operated a military hospital at the fortified town of Louisbourg; the Hôpital Général in Quebec; the Hôtel-Dieu hospital in Montreal; the Congregation of Notre Dame; and the Hôpital Général of Montreal, where Grey Nuns (Order of Sisters of Charity) foundress, the widow Marie-Marguerite d'Youville, had already brought the slaves of her late husband. After the conquest of Canada by the British, several of those who returned to France left their slaves to the Hospital. Furthermore, several bishops of Quebec owned slaves. Historian Marcel Trudel has uncovered records of four bishops of Quebec who owned slaves during their episcopate: Saint-Vallier (whose term lasted from 1687 to 1727) and Pontbriand (1741-1760) each owned at least one enslaved Native servant; Dosquet (1733-1739) and Plessis (1806-1825) each owned at least one enslaved servant described as black.  Secular priests across New France also owned slaves. One of these was among the last individuals to trade in slaves in Canadian history when, in 1796, he sold an enslaved woman of African descent named Rose. There were only two more recorded slave sales in Canada—all by 1800. In 1834, slavery was outlawed in Canada (as part of the British Empire).",,,,,
Jesuits,Religieux,Jésuites,Compagnie de Jésus,,New Orleans,Nouvelle Orléans,United States,29.935764,-90.069391,141,141,French,2,1763,"Dial, Andrew. ""Antoine Lavalette, Slave Murderer: A Forgotten Scandal of the French West Indies."" <em>Journal of Jesuit Studies</em> 8, no. 1 (2020): 37–55. Villiers du Terrage, Marc. <em>Les dernières années de la Louisiane française: Le chevalier de Kerlérec, d'Abbadie, Aubry, Laussat</em>. Paris: Guilmoto, 1904.","On July 9, 1764, the Superior Council of Louisiana made the decision to expel the Jesuits from the colony. This action followed broader movements against the Jesuit Order throughout the French empire, where they were seen as a threat to royal authority and public order. Interesting, in addition to repeating some of the justifications used by the Parlements of France--that the Jesuits attacked royal authority, the authority of the bishops, and ""the public peace""--the Council accused the Jesuits of neglecting their missionary duties to focus on their wealth and plantations, stating that the Jesuits ""n'avaient eu aucun soin de leurs missions; qu'ils n'avaient pensé qu'à faire valoir leurs habitations"" (they had taken no care of their missions and only thought of enhancing the value of their estates). Additionally, they were charged with usurping the vicar general's authority in New Orleans. Their chapels were ordered to be razed, and the Jesuits were forced to return to France, with their assets seized and chapel ornaments transferred to the Capuchins. This marked the end of the Jesuits' presence in Louisiana, reflecting wider anti-Jesuit sentiments in the French world.",,,,,
Jesuits,Religieux,Jésuites,Compagnie de Jésus,Jesuits of New France,"Kaskaskia, Illinois",Kaskaskia,United States,37.55,-89.913164,68,68,French,2,1764,"Carayon, Auguste. <em>Bannissement des jésuites de la Louisiane; relation et lettres inédites</em>. Paris: L'Ecureux, 1865. ""Some Points on the Jesuit Mission in the Illinois."" In Clarence Alvord and Clarence Carter, eds., <em>The New Regime, 1765–1767</em>. Collections of the Illinois State Historical Library, vol. 11. Springfield, 1916, 326–28. Cited in Dial, Andrew. ""Antoine Lavalette, Slave Murderer: A Forgotten Scandal of the French West Indies."" <em>Journal of Jesuit Studies</em> 8, no. 1 (2020): 37–55.","According to Carayon, in 1764, the Jesuits of Kaskaskia, in the Illinois Country (Upper Louisiana), possessed 48 slaves of both West African and Amerindian origin when they returned to France in the wake of the suppression of the French provinces of the Society of Jesus by King Louis XV. According to a 1766 letter, there were 68 enslaved persons living on the estate.",,,,,
Jesuits,Religieux,Jésuites,Compagnie de Jésus,,"Saint-Pierre, Martinique",Saint-Pierre,Martinique,14.7792,-61.1753,200,at least 200,French,2,1763,"Dial, Andrew. ""Antoine Lavalette, Slave Murderer: A Forgotten Scandal of the French West Indies."" <em>Journal of Jesuit Studies</em> 8, no. 1 (2020): 37–55. Villiers du Terrage, Marc. <em>Les dernières années de la Louisiane française: Le chevalier de Kerlérec, d'Abbadie, Aubry, Laussat</em>. Paris: Guilmoto, 1904.","The Jesuits established themselves in Saint-Pierre, Martinique, in 1640, building the first stone structure in the city at the Habitation Perrinelle. Their presence was central to the religious and educational life of the colony, with the construction of a church and the management of a sugar plantation. The Jesuits also played a key role in shaping the religious landscape by overseeing the parish of Saint-Pierre. However, following their expulsion from the island in 1763, their land was sold, marking the end of their direct influence in Martinique; Stephan Lenik, “Mission Plantations, Space, and Social Control: Jesuits as Planters in French Caribbean Colonies and Frontiers,” Journal of Social Archaeology 12, no. 1 (February 1, 2012): 51–71.",,,,,
Jesuits,Religieux,Jésuites,Compagnie de Jésus,,Saint-Domingue,Terre-Rouge & Port-de-Paix,Haiti,19.62863,-71.923126,380,380,French,2,1763,"Dial, Andrew. ""Antoine Lavalette, Slave Murderer: A Forgotten Scandal of the French West Indies."" <em>Journal of Jesuit Studies</em> 8, no. 1 (2020): 37–55.",,,,,,
Jesuits,Religieux,Jésuites,Compagnie de Jésus,,Basse-Terre,Basse-Terre,Guadeloupe,15.9966,-61.7317,312,312,French,2,1762,"Gautier, Arlette. ""Les esclaves de l'habitation Bisdary (1763–1817)."" <em>Bulletin de la Société d'Histoire de la Guadeloupe</em>, no. 60 (1984): 13–50.","In 1762, the cash-strapped Jesuits of the Iles du Vent sold their vast sugar plantation of Bisdary to a private buyer, just as the English occupation of the island was ending and just before the suppression of the Crown's order to expel the order from the French Antilles and liquidate its properties. According to records of the sale, 312 enslaved men, women, and children lived on the plantation.",,,,,
Jesuits,Religieux,Jésuites,Compagnie de Jésus,,"Remire-Montjoly, French Guiana",Remire-Montjoly,French Guiana,4.905,-52.2767,509,At least 509,French,2,1762,"Le Roux, Yannick, Réginald Auger, and Nathalie Cazelles. <em>Les jésuites et l'esclavage Loyola: l'habitation des jésuites de Rémire en Guyane française</em>. Québec: Presses de l'Université du Québec, 2009. Dial, Andrew. ""Antoine Lavalette, Slave Murderer: A Forgotten Scandal of the French West Indies."" <em>Journal of Jesuit Studies</em> 8, no. 1 (2020): 37–55.","In 1762, the Jesuits’ properties in French Guiana were inventoried ahead of the liquidation of the order’s assets in the French empire. Yannick Le Roux estimates that a total of between 1,000 and 1,500 persons labored on their plantations (""Loyola,"" ""Mont-Louis,"" plus the Oyapoc mission). Their plantations produced half of all the cacao and coffee exported from the colony. Exact figures exist for 509.",,,,,
Jesuits,Religieux,Jésuites,Compagnie de Jésus,,"Grand Bay, Dominica",Dominique,Dominica,15.2451,-61.3181,194,194,French,2,1763,"Lenik, Steve. ""A French Jesuit Parish, without the Jesuits: Grand Bay's Catholic Community and Institutional Durability in British Dominica."" Leiden: Brill, 2018, 253–74. Dial, Andrew. ""Antoine Lavalette, Slave Murderer: A Forgotten Scandal of the French West Indies."" <em>Journal of Jesuit Studies</em> 8, no. 1 (2020): 37–55.","Jesuits were the single largest slaveholder on that island. Controversially, their business manager in the Antilles had also negotiated the purchase of 200-300 slaves for sugar production on the small satellite colony. When they were taken to court for unpaid debts related to their dealing in slaves, their properties in the region were ordered liquidated. Nevertheless each priest was allowed to retain one enslaved man, one enslaved woman, and a child as “domestics.” ",,,,,
Jesuits,Religieux,Jésuites,Compagnie de Jésus,Jesuits of New France,"Saint-François-du-Lac, Quebec",Saint-François-du-Lac (Odanak),Canada,46.0737,-72.8145,1,1,French,2,1720,"Trudel, Marcel. <em>Canada's Forgotten Slaves: Two Hundred Years of Bondage</em>. Translated by George Tombs. Montréal: Véhicule Press, 2013.","The Jesuits at Saint-François-du-Lac (or Odanak, a village for Abenaki converts),  were served by an enslaved Sioux woman named Françoise whom the priests described as “quite pretty [with] a sweet and seductive voice.”",,,,,
Jesuits,Religieux,Jésuites,Compagnie de Jésus,Jesuits of New France,"Quebec City, Quebec",Québec,Canada,46.8167,-71.2167,3,3,French,2,1720,"Trudel, Marcel. <em>Canada's Forgotten Slaves: Two Hundred Years of Bondage</em>. Translated by George Tombs. Montréal: Véhicule Press, 2013. Trudel, Marcel. ""L'attitude de l'Église catholique vis-à-vis l'esclavage au Canada français."" <em>Report of the Annual Meeting / Rapports annuels de la Société historique du Canada</em> 40, no. 1 (1961): 28–34.","In 1720, upon the invitation of the intendant of New France, Michel Bégon, various religious communities submitted requests to be given some of a cargo of one hundred enslaved Africans shipped to the colony by the French Company of the Indies. Various religious communities obtained slaves, including the Jesuits at Quebec City, at Saint-François-du-Lac (or Odanak, a village for Abenaki converts), at Sault-Saint-Louis (or Kahnawake, a village for Iroquois converts), as well as at their mission stations in Detroit and Michilimackinac; the Frères de la charité, who operated a military hospital at the fortified town of Louisbourg; the Hôpital Général in Quebec; the Hôtel-Dieu hospital in Montreal; the Congregation of Notre Dame; and the Hôpital Général of Montreal, where Grey Nuns (Order of Sisters of Charity) foundress, the widow Marie-Marguerite d'Youville, had already brought the slaves of her late husband. After the conquest of Canada by the British, several of those who returned to France left their slaves to the Hospital. Furthermore, several bishops of Quebec owned slaves. Historian Marcel Trudel has uncovered records of four bishops of Quebec who owned slaves during their episcopate: Saint-Vallier (whose term lasted from 1687 to 1727) and Pontbriand (1741-1760) each owned at least one enslaved Native servant; Dosquet (1733-1739) and Plessis (1806-1825) each owned at least one enslaved servant described as black.  Secular priests across New France also owned slaves. One of these was among the last individuals to trade in slaves in Canadian history when, in 1796, he sold an enslaved woman of African descent named Rose. There were only two more recorded slave sales in Canada—all by 1800. In 1834, slavery was outlawed in Canada (as part of the British Empire).",,,,,
Jesuits,Religieux,Jésuites,Compagnie de Jésus,Jesuits of New France,Kahnawake Mohawk Territory,Sault-Saint-Louis (Kahnawake),Canada,45.4108,-73.6815,1,1,French,2,1723,"Trudel, Marcel. <em>Canada's Forgotten Slaves: Two Hundred Years of Bondage</em>. Translated by George Tombs. Montréal: Véhicule Press, 2013. Dilhet, Jean. <em>État de l'église Catholique ou Diocèse des États-Unis de l'Amérique Septentrionale</em>. Edited by Patrick William Browne. Washington, DC: Salve Regina Press, 1922.","The Jesuits at Sault-Saint-Louis (or Kahnawake, a village for Iroquois converts), had one Panis slave, Alexis, who was buried in Montreal in 1723.",,,,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,Saint-Joseph,Saint-Joseph,Reunion Island,-21.3786,55.6192,0,0,French,2,1787,"""Recensement général de l'isle de Bourbon,"" 1787. Archives Nationales d'Outre-Mer, G1/480. Aix-en-Provence.",,,,,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,Quartier-du-Repos-de-Laleu,Saint-Leu,Reunion Island,-21.1664,55.2869,0,0,French,2,1787,"""Recensement général de l'isle de Bourbon,"" 1787. Archives Nationales d'Outre-Mer, G1/480. Aix-en-Provence.",,,,,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,Saint-André,Saint-André,Reunion Island,-20.9606,55.6506,26,26,French,2,1787,"""Recensement général de l'isle de Bourbon,"" 1787. Archives Nationales d'Outre-Mer, G1/480. Aix-en-Provence.",,,,,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,Saint-Benoît,Saint-Benoît,Reunion Island,-21.0339,55.7128,28,28,French,2,1787,"""Recensement général de l'isle de Bourbon,"" 1787. Archives Nationales d'Outre-Mer, G1/480. Aix-en-Provence.",,,,,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,Sainte-Marie,Sainte-Marie,Reunion Island,-20.8969,55.5492,40,40,French,2,1787,"""Recensement général de l'isle de Bourbon,"" 1787. Archives Nationales d'Outre-Mer, G1/480. Aix-en-Provence. Letter from Brother Etienne Lecocq, ca. 1740. Archives Nationales (site du Caran), M/214, dossier 9, pièce 4.","A letter by a Lazarist brother provides a detailed description of the parish plantations of Ste. Marie (Isle de Bourbon) in the 1740s. The rectory was a well-designed wooden house, within a picturesque courtyard featuring a garden with tamarind arbors, storage buildings, a henyard, and an outdoor kitchen. The estate had significant agricultural and livestock assets, such as poultry, pigs, cows, horses, crops, and a coffee plantation with 6,000 plants. The garden and plantation were worked by ""five households"" of enslaved people, illustrating the missionaries' reliance on the slave labor provided by the French East India Company for their plantations' operations. Brother Pierre Niox has developed a second estate in the same parish into a well-ordered plantation.The letter also mentions the transportation of coffee and wood to St. Denis (the colonial capital) and Ile de France (the neighboring island), facilitated by a team of horses called the Diligence. The missionaries' ecclesiastical council frequently met at the Ste. Marie estate.",,,,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,Saint-Paul,Saint-Paul,Reunion Island,-21.0097,55.2697,49,49,French,2,1787,"""Recensement général de l'isle de Bourbon,"" 1787. Archives Nationales d'Outre-Mer, G1/480. Aix-en-Provence. Letter from Brother Etienne Lecocq, ca. 1740. Archives Nationales (site du Caran), M/214, dossier 9, pièce 4.","A letter by a Lazarist coadjutor-brother, who served as the manager of the Lazarist plantation at St. Paul (Isle de Bourbon), provides a detailed description of their properties in that parish in the 1740s. These included well-maintained gardens producing vegetables and fruits. The church was built on a small hill overlooking the district, near a courtyard bordered with laurels. A nearby stream provided fresh water and irrigated the gardens. Next to the church was a presbytery for the missionaries, with a yard bordered by tamarind trees, which served as a venue for teaching catechism to enslaved people both morning and night. It was also in St. Paul that the missionaries taught ""7 or 8 young black children"" to read. The plantation, located above the town called ""La Montagne,"" was worked by ""eight households"" of enslaved people. The Lazarist brother oversaw the plantation and transported crops down to the town with the help of two horses.",,,,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,Saint-Pierre,Saint-Pierre,Reunion Island,-21.3419,55.4778,54,54,French,2,1787,"""Recensement général de l'isle de Bourbon,"" 1787. Archives Nationales d'Outre-Mer, G1/480. Aix-en-Provence. Letter from Brother Etienne Lecocq, ca. 1740. Archives Nationales (site du Caran), M/214, dossier 9, pièce 4.","""Recensement général de l'isle de Bourbon,"" 1787, Archives Nationales d'Outre-Mer, G1/480; Letter from Brother Etienne Lecocq, around 1740. Archives Nationales (site du Caran), M/214, dossier 9, piece 4.",,,,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,Saint-Louis,Cure de Saint-Louis,Reunion Island,-21.2867,55.4092,73,73,French,2,1787,"""Recensement général de l'isle de Bourbon,"" 1787. Archives Nationales d'Outre-Mer, G1/480. Aix-en-Provence. Letter from Brother Etienne Lecocq, ca. 1740. Archives Nationales (site du Caran), M/214, dossier 9, pièce 4.","A letter by a Lazarist coadjutor-brother reveals that in the 1740s, missionaries in St. Louis on Isle de Bourbon had access to well-resourced properties. The presbytery, located near fertile land, supported livestock and produced abundant crops like wheat, rice, and millet. Religious services took place in a well-decorated chapel built by a local inhabitant, half a league from the presbytery. ",,,,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,Saint-Denis,Cure de Saint-Denis,Reunion Island,-20.8789,55.4481,78,78,French,2,1787,"""Recensement général de l'isle de Bourbon,"" 1787. Archives Nationales d'Outre-Mer, G1/480. Aix-en-Provence.",,,,,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,Sainte-Susanne,Cure de Sainte-Suzanne,Reunion Island,-20.9056,55.6072,78,78,French,2,1787,"""Recensement général de l'isle de Bourbon,"" 1787. Archives Nationales d'Outre-Mer, G1/480. Aix-en-Provence.",,,,,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,Port-Louis,La Cure St. Louis,Mauritius,-20.1609,57.5012,9,9,French,2,1780,"""Recensement Général de l'Isle de France,"" 1780. Archives Nationales d'Outre-Mer, G1/474. Mamet, Joseph. <em>Les Lazaristes, fondateurs de la chrétienté de l'Ile de France</em>. Port-Louis: Diocèse de Port-Louis, 1972, 30–31. ""Plan général de l'Isle de France,"" after 1772. Bibliothèque nationale de France, département Cartes et plans, GE SH 18 PF 219 DIV 2 P 24. https://gallica.bnf.fr/ark:/12148/btv1b53105272r. ""Carte particulière de l'isle de France,"" 1772. Bibliothèque nationale de France, département Cartes et plans, GE C-9307. https://gallica.bnf.fr/ark:/12148/btv1b530986308.","The Lazarists (AKA Congregation of the Mission), founded in Paris by Vincent de Paul and recruited by the French East India Company to serve the parishes of the Mascarene Islands, managed upwards of 613 “parish slaves” producing coffee, cotton, and staple crops (187 on Île de France [Mauritius] in 1780; 436 on Bourbon Island [Réunion] in 1787). In 1723, the Port Louis parish was allocated 156 arpents along the Rivière des Lataniers, near Pieter Both (mountain), later known as ""the Vallée-des-Prêtres,"" for developing a plantation. Two maps from the late 1770s show this property as belonging to “Les Prestres” and suggest it was the most developed in the valley. A 1772 map marks it as Plot 313 and depicts cleared land, one red slash representing a large house, and nine smaller marks likely representing outbuildings that housed enslaved workers (more than any other property in the area). In 1772, the mother parish received an additional 34 arpents in ""l'enfoncement Courtois"" at Pailles. All parish properties were confiscated during the Revolution and later sold under Napoleon by General Decaen, the last French Governor. Only the Vallée-des-Prêtres remained in the hands of the missionaries.","Guerin, Jean Pierre, 49","Mamet, Joseph. Les Lazaristes, fondateurs de la chrétienté de l’Ile de France. Port Louis: Diocèse de Port-Louis, 1972.",,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,Mocka,La Cure St. Pierre ès Liens,Mauritius,-20.22206893,57.53719,25,25,French,2,1780,"""Recensement Général de l'Isle de France,"" 1780. Archives Nationales d'Outre-Mer, G1/474. Mamet, Joseph. <em>Les Lazaristes, fondateurs de la chrétienté de l'Ile de France</em>. Port-Louis: Diocèse de Port-Louis, 1972, 30–31.","A Royal Ordinance of September 15, 1766, mandated each parish to have a Fabrique responsible for maintaining the church, presbytery, and worship needs, with fees set by the Governor and Intendant, supplemented by income from landed properties due to insufficient funds from the faithful. Saint-Pierre-ès-Liens (in Moka) received 182 and a quarter arpents taken from the ""habitation"" of MM. Rolando, who was generously compensated elsewhere.",M. Gros (Oct. 1777 - Dec. 1788),"Mamet, Joseph. Les Lazaristes, fondateurs de la chrétienté de l’Ile de France. Port Louis: Diocèse de Port-Louis, 1972.",,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,"Quartier de Pamplemousses, Montagne Longue",La Cure St. Louis (Habitation des Prêtres) & St. François d'Assise,Mauritius,-20.10563534,57.57966969,33,33,French,2,1780,"""Recensement Général de l'Isle de France,"" 1780. Archives Nationales d'Outre-Mer, G1/474. Mamet, Joseph. <em>Les Lazaristes, fondateurs de la chrétienté de l'Ile de France</em>. Port-Louis: Diocèse de Port-Louis, 1972, 30–31.","A Royal Ordinance of September 15, 1766, mandated each parish to have a Fabrique responsible for maintaining the church, presbytery, and worship needs, with fees set by the Governor and Intendant, supplemented by income from landed properties due to insufficient funds from the faithful. In 1768, Saint-François-d'Assise [Pamplemousses] received Mon Désir, formerly the site of the forges and blast furnaces of MM. de Rostaing and de La Tour de Saint-Ygest, whose last associate, M. Hermans, wanted to divest of. This totaled 156 arpents, marked on a 1772 map as Plot 354, “Cure Saint-François.""","M. Pierre Nicolas Boucher, desservant (Aug. 1778 -Dec. 1783); curé (Jan. 1784 - 1808)","Mamet, Joseph. Les Lazaristes, fondateurs de la chrétienté de l’Ile de France. Port Louis: Diocèse de Port-Louis, 1972.",,,
